場所,市区町村,設置タイプ,更新日時,状況,eNB-LCID,PCI,基地局ID,sector,sub6,ミリ波,緯度,経度
宇和島市祝森②,宇和島市,コン柱,2024/04/28 00:29:23,open,"737572-1,2,3","20,21,22",,3,,,33.165464,132.548319
松山市高浜町五丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737283-7,8","17,16",,2,,,33.88801191,132.7035985
八幡浜市保内町宮内②,八幡浜市,コン柱,2024/04/28 19:38:34,open,"742157-1
742158-1
742159-1","27,58,213",CBSB838000686,3,,,33.48731,132.398386
大洲市新谷③,大洲市,コン柱,2023/03/17 22:14:54,open,"737544-1,2","41,40",,2,,,33.531886,132.623181
伊予郡砥部町北川毛,砥部町,コン柱,2023/03/03 20:39:28,open,"737556-4,5,6","357,358,359",,3,,,33.742045,132.791308
今治市大三島町肥海②,今治市,コン柱,2024/05/03 21:20:30,open,"737598-7,8,9","316,135,209",,3,,,34.28122069,132.9846938
今治市朝倉上甲,今治市,コン柱,2023/05/13 16:38:24,open,737574-1,10,CBSB838001345,1,,,33.977111,133.006772
伊予市宮下,伊予市,コン柱,2023/03/22 22:00:01,open,"737478-3,4,5","13,12,22",,3,,,33.783577,132.761148
四国中央市土居町上野②,四国中央市,コン柱,2023/05/04 22:45:36,open,737509-1,140,CBSB838001256,1,,,33.935777,133.373023
松山市久谷町②,松山市,コン柱,2024/04/28 01:19:12,open,737291-7,214,CBSB838001229,1,,,33.721982,132.83735
西条市神拝乙,西条市,屋上,2023/03/26 11:07:41,open,"737519-10,11,12","287,286,285",,3,,,33.926404,133.178857
新居浜市宮原町,新居浜市,コン柱,2023/05/01 21:42:59,open,"737490-7,8,9","283,137,282",,3,,,33.93057,133.30102
新居浜市萩生④,新居浜市,コン柱,2024/05/11 22:15:07,open,"737490-4,5,6","153,335,55",CBSB838000818,3,,,33.91413351,133.2635756
今治市大三島町明日,今治市,コン柱,2023/04/30 21:24:47,open,737470-3,171,,1,,,34.25965632,132.9936712
大洲市肱川町予子林,大洲市,コン柱,2024/06/08 19:51:24,open,"737585-3,4,5","258,259,260",CBSB838000677,3,1,1,33.43603,132.704875
宇和島市保田,宇和島市,コン柱,2022/06/01 00:00:00,open,"737345-4,5,6","274,275,273",,3,,,33.18759502,132.5450135
八幡浜市穴井,八幡浜市,コン柱,2023/03/24 21:56:59,open,"737503-6,7","249,16",,2,,,33.39767,132.39684
伊予郡砥部町川登②,砥部町,コン柱,2023/03/04 20:15:08,open,737556-7,11,,1,,,33.71774,132.80385
大洲市河辺町河都,大洲市,コン柱,2024/04/28 21:06:59,open,737594-3,306,CBSB838001409,1,1,1,33.497335,132.752869
上浮穴郡久万高原町笠方①,久万高原町,衛星,2023/04/19 23:46:55,open,742223-1,1,,1,,,33.73285,133.04322
新居浜市坂井町三丁目,新居浜市,コン柱,2023/05/13 16:00:00,open,"737491-1,2,3","350,139,216",,3,,,33.947872,133.295115
東温市下林①,東温市,コン柱,2022/06/01 00:00:00,open,"737372-1,2,3","241,23,132",,3,,,33.77229967,132.884171
四国中央市下柏町①,四国中央市,コン柱,2022/11/13 02:08:30,open,"737305-1,2,3","65,174,175",,3,1,2,33.988643,133.564493
松山市三町三丁目,松山市,屋上,2022/06/01 00:00:00,open,"737440-4,5,6","22,336,359",,3,,,33.82400447,132.8004874
四国中央市土居町藤原,四国中央市,コン柱,2024/05/25 22:38:04,open,"737510-1,2,3","133,236,216",,3,,,33.971717,133.442198
東温市上村,東温市,コン柱,2023/04/23 21:55:34,open,"737386-1,2,3","319,171,8",,3,,,33.776375,132.848793
四国中央市中之庄町①,四国中央市,コン柱,2022/06/01 00:00:00,open,"737332-4,5,6","29,28,27",,3,,,33.973999,133.532665
松山市中央一丁目,松山市,屋上,2022/06/01 00:00:00,open,"737299-7,8","156,352",,2,,,33.852893,132.753673
北宇和郡鬼北町大字上川,鬼北町,コン柱,2023/04/13 20:13:31,open,737579-4,20,CBSB838001459,1,,,33.264205,132.72475
八幡浜市国木③,八幡浜市,コン柱,2023/07/02 16:58:22,ready,,,CBSB838001560,1,,,33.446226,132.453853
今治市大三島町宮浦①,今治市,コン柱,2023/04/30 21:22:16,open,"737449-4,5,6","251,282,25",,3,,,34.250034,132.997692
