ID,場所,市区町村,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,投稿者,備考,URL,協力者
7cfe9f6c,伊予郡砥部町外山,砥部町,コン柱,open,1,,,737570-4,1,,33.730112,132.769278,2023-03-14 19:34:00,@sfuruie0407,,https://x.com/sfuruie0407/status/1634813177212076033,@sfuruie0407
7dd7a5ec,伊予郡砥部町高尾田②,砥部町,コン柱,open,3,,,"737328-4,5,6","159,160,161",,33.78114791,132.7956445,2022-06-01 00:00:00,@imabarizine,,,@imabarizine
7e3f3fec,南宇和郡愛南町満倉,愛南町,コン柱,ready,1,,,,,CBSB838001242,32.952591,132.608452,2024-04-28 00:06:29,@kmtt2012,新規発見,https://x.com/kmtt2012/status/1680397770392498179,@kmtt2012
7eeea43d,今治市神宮,今治市,コン柱,open,3,,,"737354-7,8,9","265,158,156",,34.0535,132.954666,2024-05-05 22:59:27,@imabarizine,写真追加,https://x.com/raku10ehime/status/1787132662035202319,@imabarizine
7f44c013,新居浜市中西町,新居浜市,コン柱,open,3,,,"737492-10,11,12","268,120,269",,33.924716,133.302382,2024-05-04 23:38:39,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1786780968369725723,@imabarizine
7f604087,宇和島市吉田町立間②,宇和島市,コン柱,open,2,,,"737494-10,11","124,125",,33.287839,132.541629,2024-04-28 14:06:56,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1721044904951091379,@72BvzAgc0A4suFu @kmtt2012 @saiseki56
7f668759,松山市柳谷町乙,松山市,屋上,open,3,,,"737563-10,11,12","263,46,213",,33.921233,132.814775,2023-05-04 16:26:35,@saiseki56,,,@saiseki56
7fe70de1,今治市玉川町長谷②,今治市,コン柱,open,1,,,737498-4,10,,34.003664,132.938007,2023-04-03 21:32:22,@seaki,開局,https://x.com/seaki/status/1642830044912586752,@seaki
803da060,西条市小松町妙口,西条市,コン柱,open,3,,,"737518-1,2,3","77,298,179",,33.882767,133.087475,2024-05-04 21:50:15,@imabarizine,写真追加,https://x.com/raku10ehime/status/1786776871029637259,@MVp7WugssM0KObp @imabarizine
808040b4,松山市井門町②,松山市,屋内,close,,,,,,,33.800815,132.784994,2023-04-16 14:15:12,@saiseki56,新規発見,https://x.com/saiseki56/status/1647468429790830592,@saiseki56
809bf2c5,伊予市中山町中山④,伊予市,コン柱,open,1,,,737595-6,336,CBSB838001443,33.636135,132.664647,2024-04-28 12:57:08,@saiseki56,開局,https://x.com/saiseki56/status/1699313367457161723,@saiseki56
80a9b68a,今治市吉海町本庄①,今治市,コン柱,open,3,,,"737567-4,5,6","162,206,340",,34.141364,133.036877,2023-04-30 20:03:30,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1652659807072178176,@MSetokan @boyaboya01 @imabarizine
816ebcd9,松山市中島粟井,松山市,コン柱,open,2,,,"737442-10,11","283,239",,33.99361,132.640273,2024-04-28 01:58:09,@sfuruie0407,開局,https://x.com/sfuruie0407/status/1738564809229254733,wankosa @sfuruie0407
826c988a,八幡浜市日土町②,八幡浜市,コン柱,close,,,,,,,33.499261,132.427007,2022-06-01 00:00:00,@saiseki56,,,@saiseki56
82c8c322,上浮穴郡久万高原町二名①,久万高原町,衛星,open,3,,,"742246-1
742247-1
742248-1","333,331,330",,33.639799,132.853682,2022-08-17 00:00:15,@sfuruie0407,,https://x.com/sfuruie0407/status/1559448467155845121,@sfuruie0407
82f42cd6,松山市小川谷,松山市,コン柱,open,3,,,"737298-4,5,6","138,139,140",,33.92904,132.78689,2022-06-01 00:00:00,@imabarizine,,,@imabarizine
833527f9,新居浜市大生院①,新居浜市,コン柱,open,3,,,"737492-1,2,3","53,198,52",,33.921281,133.250336,2023-05-31 23:45:40,@sfuruie0407,eNB-LCID変更,https://x.com/sfuruie0407/status/1663906114075762688,@hals111 @sfuruie0407
83af9f93,八幡浜市保内町須川,八幡浜市,コン柱,open,1,,,737588-1,30,CBSB838001344,33.47285,132.421423,2023-07-02 16:53:53,@saiseki56,新規開局,,@saiseki56
83dfbf88,松山市高浜町一丁目,松山市,屋上,open,3,,,"737327-10,11,12","253,254,252",,33.87791,132.70362,2022-06-01 00:00:00,@imabarizine,,,@imabarizine
83e93fbd,松山市古三津三丁目,松山市,コン柱,open,3,,,"737422-10,11,12","319,318,320",,33.85922485,132.7313673,2022-06-01 00:00:00,wankosa,,,wankosa
8439620c,松山市畑寺二丁目,松山市,コン柱,open,3,1,2,"737295-1,2,3","247,246,248",,33.8302281,132.7967697,2022-06-01 00:00:00,@kmtt2012 wankosa,,,@kmtt2012 wankosa
8472ab0b,伊予郡松前町大字北黒田①,松前町,コン柱,open,3,,,"737533-7,8,9","350,151,117",,33.77753,132.702093,2023-03-26 00:00:25,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1639615223920472064,@seaki @saiseki56
84d8eed2,伊予市三秋②,伊予市,コン柱,open,3,,,"737606-4,5,6",,CBSB838000959,33.722032,132.688522,2024-04-28 19:41:29,@saiseki56,開局,https://x.com/saiseki56/status/1739869060974973170,@saiseki56
84e7cc5d,喜多郡内子町城廻③,内子町,コン柱,open,1,,,737594-4,60,CBSB838001341,33.578444,132.663806,2024-04-30 22:13:52,@saiseki56,開局,https://x.com/saiseki56/status/1785186295431782590,@saiseki56
84ef2791,伊予市中山町中山丑,伊予市,コン柱,open,2,1,1,"737449-10,11","210,260",,33.635293,132.708357,2024-04-28 12:36:37,@saiseki56,5G追加,https://x.com/saiseki56/status/1696733815786680684,@imabarizine @sfuruie0407 @saiseki56
8538a87b,松山市堀江町①,松山市,コン柱,open,3,,,"737287-4,5,6","186,187,41",,33.9059446,132.7531456,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
858d2b9e,松山市内浜町,松山市,コン柱,open,3,,,"737323-1,2,3","39,173,232",,33.8644444,132.7267037,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
85aad8fd,松山市東石井六丁目,松山市,コン柱,open,3,,,"737301-1,2,3","312,314,313",,33.8133457,132.7781011,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
85b96b3a,上浮穴郡久万高原町黒藤川①,久万高原町,衛星,open,1,,,742204-1,1,,33.606213,133.035822,2023-04-28 22:26:36,@sfuruie0407,,https://x.com/sfuruie0407/status/1651533165243293696,@sfuruie0407
8600e2d4,北宇和郡鬼北町大字奈良,鬼北町,コン柱,open,3,,,"737461-3,4,5","175,174,176",,33.247157,132.673274,2022-11-13 01:52:01,@kmtt2012,,https://x.com/kmtt2012/status/1584051814496108544,Googleフォーム008 @kmtt2012
86cd4beb,今治市北日吉町一丁目,今治市,コン柱,open,3,1,3,"737359-1,2,3","82,321,83",,34.062963,132.989182,2023-04-23 21:21:13,@imabarizine,5G追加,https://x.com/raku10ehime/status/1650116256748687364,Googleフォーム093 @seaki @imabarizine
86f884ba,南宇和郡愛南町外泊,愛南町,コン柱,ready,3,,,,,,32.937583,132.477417,2024-05-11 20:42:53,@saiseki56,新規発見,https://x.com/saiseki56/status/1789245460647150024,@saiseki56
86fec3cd,北宇和郡鬼北町大字川上,鬼北町,コン柱,open,1,,,737551-10,20,,33.305662,132.759682,2023-04-13 20:11:33,@kmtt2012,,https://x.com/kmtt2012/status/1651288773156827136,@kmtt2012
87160d0e,新居浜市阿島四丁目,新居浜市,コン柱,ready,1,,,,,,33.964889,133.371389,2024-04-28 21:01:35,@saiseki56,新規開局,https://x.com/saiseki56/status/1784092759726739812,@saiseki56
871be50f,松山市東野五丁目,松山市,コン柱,open,3,3,3,"737295-7,8,9","238,239,237",,33.8368255,132.8006938,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
871c2ded,今治市しまなみの杜,今治市,コン柱,open,3,,,"737366-7,8,9","51,133,137",CBSB838001389,34.072214,132.974334,2023-04-22 12:09:01,@imabarizine,開局,https://x.com/raku10ehime/status/1649621909351587841,@imabarizine
87d1fccd,喜多郡内子町石畳,内子町,コン柱,open,1,,,737609-6,93,CBSB838001467,33.631361,132.645472,2024-05-18 19:17:23,@saiseki56,新規開局,https://x.com/saiseki56/status/1791707925087764979,@saiseki56
8869bb17,大洲市西大洲,大洲市,コン柱,open,3,,,"737445-7,8,9","364,99,287",,33.504134,132.525854,2022-07-17 16:00:00,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1548563185099087872,@saiseki56
8a387028,宇和島市津島町北灘甲,宇和島市,コン柱,open,3,3,1,"737592-3,4,5","287,285,286",,33.14322,132.47689,2024-04-29 22:10:42,@kmtt2012,マイマップより転記,,@kmtt2012
8a79e21c,伊予市中山町中山②,伊予市,コン柱,open,2,1,1,"737594-1,2","40,41",,33.642087,132.673187,2024-04-28 12:53:31,@saiseki56,開局,https://x.com/saiseki56/status/1699311836682764541,@saiseki56 @sfuruie0407
8b7a08b9,北宇和郡鬼北町大字清水,鬼北町,コン柱,open,3,1,3,"737388-9,10,11","41,40,39",,33.3030112,132.688943,2022-06-01 00:00:00,@imabarizine @kmtt2012,,,@imabarizine @kmtt2012
8c708323,伊予郡砥部町宮内②,砥部町,コン柱,open,3,,,"737554-7,8,9","38,142,36",,33.748763,132.790444,2023-03-03 20:43:36,@sfuruie0407,eNB-LCID変更,https://x.com/sfuruie0407/status/1631485115544244224,@wankosa @sfuruie0407
8ce0547a,西宇和郡伊方町三机,伊方町,コン柱,open,3,,,"737429-1,2,3","108,110,109",,33.45498847,132.246492,2022-06-01 00:00:00,wankosa @saiseki56,,,wankosa @saiseki56
8d050dea,今治市内堀一丁目,今治市,コン柱,open,3,,,"737486-10,11,12","75,175,77",,34.10315,132.967654,2023-04-22 17:32:24,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1649694914693955584,@imabarizine
8d5324f9,喜多郡内子町袋口②,内子町,コン柱,ready,3,,,,,CBSB838001167,33.616361,132.669639,2024-04-30 22:10:45,@saiseki56,新規発見,https://x.com/saiseki56/status/1785183257539301679,@saiseki56
8e5af98d,八幡浜市保内町磯崎②,八幡浜市,コン柱,open,3,1,1,"737528-1,2,3","23,21,22",,33.538497,132.407338,2024-04-28 20:39:54,@saiseki56,5G追加,https://x.com/saiseki56/status/1783405255780413810,@saiseki56
8ec8452f,西予市宇和町岡山,西予市,コン柱,open,3,,,"737524-4,5,6","192,194,193",,33.421753,132.496601,2023-03-24 22:05:38,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1639217247549009923,@imabarizine @saiseki56
8eca226e,新居浜市萩生②,新居浜市,屋上,open,3,,,"737541-4,5,6","242,282,25",,33.941111,133.267677,2024-05-11 22:21:12,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1789294941342212159,@imabarizine
8edd91ef,大洲市長浜町沖浦,大洲市,コン柱,open,2,,,"737501-5,6","370,371",,33.605076,132.482312,2023-03-17 22:23:51,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1635882282006487044,Googleフォーム003 @saiseki56
8f22fb9e,八幡浜市矢野町,八幡浜市,屋上,open,3,,,"737567-7,8,9","375,376,377",,33.4572,132.424473,2023-03-19 19:47:58,@saiseki56,,https://x.com/saiseki56/status/1637323537424986113,@kmtt2012 @saiseki56
8f2ffdb5,西条市丹原町楠窪①,西条市,衛星,open,1,,,742207-1,1,,33.835596,133.038858,2023-03-21 17:13:52,@sfuruie0407,,https://x.com/sfuruie0407/status/1637740131720495105,@sfuruie0407
8f4db259,今治市阿方②,今治市,コン柱,open,3,1,3,"737354-1,2,3","298,179,174",,34.062522,132.965313,2022-06-01 00:00:00,@seaki,,,@seaki
8f90f10a,南宇和郡愛南町樫月,愛南町,コン柱,ready,2,,,,,,32.952556,132.517139,2024-05-11 20:45:28,@saiseki56,新規発見,https://x.com/saiseki56/status/1789249159599726624,@saiseki56
8ff9d10e,西条市周布,西条市,屋上,open,3,,,"737547-6,7,8","69,144,236",,33.917772,133.075609,2023-04-28 22:42:34,@MVp7WugssM0KObp,eNB-LCID変更,https://x.com/MVp7WugssM0KObp/status/1651713131058720768,@MVp7WugssM0KObp
907585d0,今治市宮窪町友浦,今治市,コン柱,open,1,,,737601-1,350,,34.15332014,133.0809501,2024-05-03 21:17:46,@imabarizine,新規追加,https://x.com/raku10ehime/status/1786384876058665370,@imabarizine
90b542c1,南宇和郡愛南町広見②,愛南町,コン柱,ready,3,,,,,,32.97075,132.633889,2024-04-28 20:20:05,@saiseki56,ストリートビュー確認,https://x.com/saiseki56/status/1777798561201078543,@saiseki56
9138f353,松山市針田町,松山市,コン柱,open,3,,,"737561-10,11,12","122,327,250",,33.825231,132.737332,2023-03-31 16:37:19,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1641708035868618752,wankosa @saiseki56
91aa49c0,宇和島市三間町黒井地,宇和島市,コン柱,open,1,,,737585-7,30,CBSB838001072,33.306202,132.602494,2024-04-28 14:28:47,@saiseki56,新規開局,https://x.com/saiseki56/status/1721064985932234978,@saiseki56
924c2762,西予市三瓶町二及,西予市,コン柱,open,2,,,"737503-8,9","298,299",,33.3777,132.40331,2023-03-24 22:00:17,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1639210176627773440,@kmtt2012 @saiseki56
9275ee4f,西条市三芳,西条市,コン柱,open,3,,,"737547-1,2,3","173,105,127",,33.951963,133.062847,2023-05-04 11:33:14,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1654085095974920192,@imabarizine
9311af25,伊予市大平①,伊予市,コン柱,open,3,,,"737483-10,11,12","170,169,276",,33.701515,132.707444,2023-03-21 17:20:11,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1637735652900110336,@kmtt2012 wankosa @saiseki56
9336469d,越智郡上島町弓削上弓削,上島町,コン柱,open,2,,,"606674-1,2","127,128",CBSB838000314,34.27641,133.209766,2024-05-03 21:32:21,@imabarizine,開局,https://x.com/raku10ehime/status/1786386798366896318,@boyaboya01 @imabarizine
9376d0bb,松山市土居田町②,松山市,コン柱,open,3,,,"737561-7,8,9","69,173,73",CBSB838000987,33.821165,132.74966,2023-03-19 20:01:15,@kmtt2012,eNB-LCID変更,https://x.com/kmtt2012/status/1637343765110325251,wankosa @kmtt2012
93780969,新居浜市多喜浜二丁目,新居浜市,コン柱,open,3,,,"737553-7,8,9","377,100,84",,33.974889,133.333011,2023-06-10 14:20:09,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1667491731380793347,@hals111 @imabarizine
93c509d1,伊予市上三谷,伊予市,コン柱,open,3,,,"737478-6,7,8","87,362,18",,33.765263,132.739221,2023-03-21 17:37:31,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1637815322123313152,@kmtt2012 @saiseki56
941d1131,新居浜市下泉町二丁目,新居浜市,コン柱,open,3,,,"737493-1,2,3","51,251,235",,33.947498,133.308128,2023-06-10 16:35:58,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1667500742410932224,@sakura3ripa @imabarizine
9478bacc,松山市古川南三丁目,松山市,コン柱,open,3,1,2,"737285-1,2,3","129,131,130",,33.805013,132.765628,2022-07-29 21:52:01,@kmtt2012,,,@kmtt2012
94969dd1,西条市丹原町丹原,西条市,コン柱,open,3,,,"737548-1,2,3","95,291,190",CBSB838000519,33.90414,133.064154,2024-05-11 21:38:21,@imabarizine,写真追加,https://x.com/raku10ehime/status/1789291250090442948,@hals111 @imabarizine
9541d876,松山市小栗二丁目,松山市,コン柱,open,3,,,"737325-4,5,6","172,65,63",,33.826208,132.761086,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
95654281,今治市登畑,今治市,コン柱,open,3,,,"737510-4,5,6","79,56,33",,34.019522,133.016295,2024-05-05 22:51:31,@imabarizine,写真追加,https://x.com/raku10ehime/status/1787130581593309606,@seaki @imabarizine
95a98a45,松山市住吉一丁目,松山市,屋上,open,3,,,"737439-4,5,6","56,55,54",,33.86433948,132.7180098,2022-06-01 00:00:00,wankosa,,,wankosa
96030bd0,西条市玉津,西条市,コン柱,open,3,3,,"737520-6,7,8","188,257,370",CBSB838000723,33.929886,133.201672,2024-05-11 22:12:03,@imabarizine,5G追加,https://x.com/raku10ehime/status/1789293675388006642,@imabarizine
96126f08,伊予市中山町中山卯,伊予市,コン柱,open,1,,,737568-3,30,CBSB838001310,33.64763,132.702303,2023-03-28 21:08:07,@saiseki56,新規開局,https://x.com/saiseki56/status/1640274069269676034,@saiseki56
96a019f7,松山市西垣生町②,松山市,コン柱,open,3,,,"737562-4,5,6","246,142,41",,33.819831,132.703194,2023-07-06 14:49:16,@saiseki56,eNB-LCID変更,,@kmtt2012 @saiseki56
96f872de,西予市宇和町明間,西予市,コン柱,open,2,1,2,"737526-7,8","191,190",,33.346929,132.584212,2023-06-20 18:13:54,@saiseki56,eNB-LCID変更,,@kmtt2012 @saiseki56
9817808d,松山市道後喜多町,松山市,コン柱,open,3,,,"737323-10,11,12","242,240,241",,33.850609,132.782662,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
98870c5d,松山市樽味四丁目,松山市,コン柱,open,3,,,"737327-7,8,9","193,162,299",,33.838476,132.785615,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
98a9eadb,西予市城川町古市,西予市,衛星,open,1,,,742182-1,270,CBSB838000964,33.369861,132.779667,2024-04-28 21:11:13,@saiseki56,新規開局,https://x.com/saiseki56/status/1784426093342228625,@saiseki56
98c8e141,西宇和郡伊方町中浦,伊方町,コン柱,open,3,1,2,"737474-9,10,11","356,354,217",,33.489181,132.345203,2023-01-08 14:41:28,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1609841693179940866,@imabarizine @saiseki56
98fe96eb,北宇和郡鬼北町大字出目,鬼北町,コン柱,close,,,,,,,33.251013,132.703661,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
