,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
251,松山市北藤原町,松山市,,屋上,open,3,,,"737325-10,11,12","223,224,222",,33.833842,132.759668,2022/06/01 00:00:00,green,signal
252,松山市大手町二丁目,松山市,,屋上,open,3,,,"737295-10,11,12","288,290,289",,33.839937,132.754141,2022/06/01 00:00:00,green,signal
253,松山市中央一丁目,松山市,,屋上,open,2,,,"737299-7,8","156,352",,33.852893,132.753673,2022/06/01 00:00:00,green,signal
254,松山市別府町,松山市,,コン柱,open,2,,,"737282-10,11","75,77",,33.844242,132.721322,2022/06/01 00:00:00,green,signal
255,松山市山西町,松山市,,コン柱,open,3,,,"737282-4,5,6","24,25,26",,33.849767,132.733195,2022/06/01 00:00:00,green,signal
256,松山市小川,松山市,,コン柱,open,3,,,"737298-1,2,3","102,103,104",,33.928143,132.764324,2022/06/01 00:00:00,green,signal
257,松山市鹿峰,松山市,,コン柱,open,3,,,"737307-1,2,3","84,160,179",,33.9425777,132.770301,2022/06/01 00:00:00,green,signal
258,松山市下難波,松山市,,コン柱,open,3,,,"737315-9,10,11","72,143,142",,33.9838586,132.7767555,2022/06/01 00:00:00,green,signal
259,松山市北条辻,松山市,,コン柱,open,3,,,"737313-9,10,11","374,322,167",,33.9622616,132.7770903,2022/06/01 00:00:00,green,signal
260,松山市中西内,松山市,北条北中学校付近,コン柱,open,3,,,"737316-1,2,3","50,192,166",,33.971697,132.783799,2022/06/01 00:00:00,green,signal
261,松山市末町,松山市,ローソン松山末町店,コン柱,open,3,,,"737564-4,5,6","179,288,178",,33.863463,132.81788,2023/05/04 10:24:20,green,signal
262,松山市正岡神田,松山市,,コン柱,open,3,,,"737313-4,5,6","329,66,328",,33.969059,132.805791,2022/06/01 00:00:00,green,signal
263,松山市久万ノ台①,松山市,松山西中等教育学校付近,コン柱,open,3,,,"737314-7,8,9","334,333,335",,33.861325,132.739088,2022/06/01 00:00:00,green,signal
264,松山市内浜町,松山市,,コン柱,open,3,,,"737323-1,2,3","39,173,232",,33.8644444,132.7267037,2022/06/01 00:00:00,green,signal
265,松山市山越四丁目,松山市,シャンシュール山越,コン柱,open,3,,,"737309-4,5,6","47,45,46",,33.86407,132.756708,2022/06/01 00:00:00,green,signal
266,松山市美沢二丁目,松山市,,コン柱,open,3,,,"737300-1,2,3","366,367,368",,33.849724,132.744648,2022/06/01 00:00:00,green,signal
267,松山市吉藤五丁目,松山市,,コン柱,open,3,,,"737297-1,2,3","119,117,118",,33.8725162,132.7622333,2022/06/01 00:00:00,green,signal
268,松山市馬木町,松山市,,コン柱,open,3,,,"737288-10,11,12","10,9,11",,33.8909679,132.7447306,2022/06/01 00:00:00,green,signal
269,松山市太山寺町①,松山市,ローソン松山太山寺町店付近,コン柱,open,3,,,"737288-4,5,6","168,170,169",,33.890551,132.735974,2022/06/01 00:00:00,green,signal
270,松山市太山寺町②,松山市,太山寺幼稚園付近,コン柱,open,3,,,"737288-1,2,3","175,176,174",,33.8921391,132.7283058,2022/06/01 00:00:00,green,signal
271,松山市堀江町①,松山市,堀江駅,コン柱,open,3,,,"737287-4,5,6","186,187,41",,33.9059446,132.7531456,2022/06/01 00:00:00,green,signal
272,松山市河野別府,松山市,河野小学校付近,コン柱,open,3,,,"737506-5,6,7","0,319,323",,33.949377,132.783592,2023/05/13 15:49:43,green,signal
273,松山市福音寺町,松山市,,コン柱,open,3,,,"737304-1,2,3","347,60,310",,33.8227348,132.7809329,2022/06/01 00:00:00,green,signal
274,松山市下伊台町①,松山市,,コン柱,open,2,,,"737565-1,2","103,125",,33.875913,132.796452,2023/05/10 12:14:43,green,signal
275,【5G】松山市白水台六丁目,松山市,,コン柱,open,3,1,2,"737322-1,2,3","281,280,279",,33.875951,132.778934,2022/06/01 00:00:00,darkblue,plane
276,【5G】松山市下伊台町②,松山市,向陽ハイツ・西法寺付近,コン柱,open,3,3,3,"737565-3,4,5","131,259,260",,33.874643,132.805403,2023/05/10 12:06:56,darkblue,plane
277,松山市余戸東一丁目,松山市,,屋上,open,3,,,"737560-7,8,9","377,378,103",,33.815238,132.739449,2023/05/10 13:40:21,green,signal
278,松山市湯の山八丁目,松山市,,コン柱,open,2,,,"737564-7,8","301,104",,33.872366,132.817743,2023/05/10 11:54:43,green,signal
279,松山市一番町一丁目,松山市,松山一番町ビル,屋上,open,3,,,"737304-7,8,9","200,198,199",,33.841927,132.774554,2022/06/01 00:00:00,green,signal
